年均温,年降水,蒸散量,母岩,DEM,地形部位,NDVI,LAI,植被类型,土地利用,pH,TDLY,coordinates
21.942486,1061.308,-0.002244434,1,2025,4,0.61291903,0.918180944,13,4,5.96,-9999,(33517424.529600002 2763102.3894999996)
18.164577,1273.8174,-0.002398441,8,1438,3,0.5907205,1.454453746,8,4,7.18,-9999,(33479817.6835 2798254.1219999995)
22.143068,1260.5503,-0.002440028,2,1830,3,0.64355385,1.450222076,6,4,8.03,-9999,(33480260.6698 2758792.2167000007)
22.19316,1009.4684,-0.002253862,4,1668,4,0.55527616,1.319023913,18,1,7.88,620.87,(33525352.6522 2783716.7465000004)
22.941872,993.74475,-0.002233951,4,1649,3,0.43809924,0.949027367,18,1,7.28,1372.95,(33523462.262199998 2778520.3863999993)
19.414423,1046.924,-0.002306473,4,1861,3,0.5791054,0.924647811,18,1,6.03,142.16,(33519767.8258 2796889.230799999)
22.606012,1007.2636,-0.002247932,4,1659,5,0.47737393,1.018309617,18,1,8.48,1640.25,(33525297.8372 2781715.363500001)
22.22178,1082.7424,-0.00229076,1,1943,5,0.5086366,1.109578235,13,1,8.37,94.77,(33521892.9806 2756434.7947000004)
22.701193,1011.0823,-0.002198006,4,1667,3,0.44733098,0.9641912,18,1,6.73,290.38,(33516977.2568 2773716.6163)
21.198067,1022.9946,-0.002263445,4,1707,4,0.49319535,1.066445924,18,1,7.22,868.73,(33526825.1839 2785820.0830000006)
24.316307,1085.0222,-0.002323356,4,1359,3,0.46087244,0.942707254,18,1,7.51,663.39,(33500247.965 2768795.1922999993)
23.33741,1024.1476,-0.002228762,4,1656,4,0.472846,1.029609227,18,1,5.03,196.83,(33522452.3425 2768534.7202000003)
24.26209,1102.832,-0.002349413,5,1331,4,0.45347387,0.85216345,8,1,8.35,928.26,(33496169.4974 2771825.0736999996)
23.186255,1018.03674,-0.002221354,4,1643,4,0.46859705,1.051966562,18,1,5.65,319.54,(33521327.277400002 2769183.3468999993)
21.839819,1096.2068,-0.002299155,1,1836,3,0.33485988,0.61044063,18,1,8.07,398.52,(33531535.4826 2753013.6703999992)
24.35745,1161.8722,-0.002419418,4,872,4,0.5208352,1.186287597,19,1,5.55,130,(33485155.7729 2758275.4209000003)
21.03329,1008.5913,-0.002269254,4,1711,3,0.48544607,1.049440076,18,1,6.83,449.55,(33524240.3821 2787641.7689999994)
24.62937,1128.2095,-0.002375218,4,675,3,0.5019313,1.042224816,15,1,8.23,263.65,(33490215.1869 2755795.9218000006)
22.62258,1023.37946,-0.002212808,4,1666,4,0.444542,0.975409331,13,1,7.05,318.33,(33517488.3658 2768497.7980000004)
23.353535,1094.207,-0.002317963,4,1396,4,0.48687026,1.009732091,18,1,8.29,219.92,(33504423.0006 2764933.4702000003)
24.363842,1080.1794,-0.002318681,5,1352,5,0.49096248,0.91368506,8,1,8.66,510.3,(33500609.0108 2770293.0183000006)
23.26928,1071.946,-0.002290437,4,1591,4,0.40731972,0.869684022,1,1,6.86,893.02,(33531077.4432 2759174.0154999997)
23.69198,1131.9392,-0.002349741,3,1555,3,0.4444972,0.878640301,12,1,8.48,545.54,(33499200.798 2754664.513699999)
24.178722,1191.7773,-0.002432982,4,1008,3,0.52285254,1.153463158,9,1,5.25,128.79,(33483624.1541 2761327.2216999996)
23.64727,1199.1364,-0.002424373,4,867,3,0.50937843,1.10055448,9,1,6.11,106.92,(33483809.3086 2764611.8972999994)
23.462957,1175.961,-0.00240094,4,756,4,0.47637892,1.018757454,19,1,7.68,65.61,(33487512.1559 2748508.4301999994)
24.673265,1134.2737,-0.002387836,4,712,4,0.5337714,1.118617567,16,1,8.56,936.76,(33489714.0176 2763933.0516)
20.87983,1023.8198,-0.002268467,4,1758,3,0.5818352,1.278285372,1,1,6.13,876.01,(33526726.2458 2787181.7815000005)
20.435093,1009.18427,-0.00227823,4,1684,3,0.54087526,1.250477036,18,1,5.98,280.67,(33523171.163599998 2790206.1163999997)
24.58263,1169.4052,-0.002424212,4,886,3,0.5918812,1.383905004,19,1,6.26,143.37,(33484992.3349 2762132.601500001)
22.6062,1022.24646,-0.002189868,4,1680,3,0.505608,1.105221193,18,1,7.18,790.96,(33515881.0368 2773104.1644)
24.264753,1081.4664,-0.002315803,4,1359,1,0.4350675,0.79213458,18,1,7.93,773.96,(33501188.5262 2768625.8926999997)
19.972565,1055.2677,-0.002308661,1,1832,4,0.45685536,0.94106624,18,1,5.9,765.45,(33520490.827600002 2801201.5485999994)
24.199223,1170.7625,-0.00241239,4,759,2,0.5794224,1.202742987,19,1,5.47,121.5,(33486019.6203 2764955.6219999995)
22.56411,1056.6218,-0.002217667,1,1867,4,0.53937453,1.165438785,13,1,8.23,88.69,(33513487.0764 2768833.897500001)
22.614397,1086.2816,-0.002299877,1,1720,5,0.50981677,1.112410112,1,1,8.07,55.89,(33528653.096699998 2755842.777899999)
20.546413,1011.70447,-0.002276119,4,1711,3,0.56584036,1.215142245,18,1,5.51,368.14,(33524016.1889 2789779.0941000003)
22.90543,988.408,-0.002224049,4,1646,2,0.41758084,0.96497516,18,1,6.04,315.9,(33520295.214900002 2777063.4910000004)
23.953585,1184.9833,-0.002420673,4,817,3,0.46389616,1.011346601,9,1,5.66,168.88,(33484641.326 2764427.8430000003)
23.448126,1010.0173,-0.002223451,4,1695,4,0.35341415,0.725830123,18,1,6.64,360.86,(33523753.9191 2772569.293299999)
21.318651,1019.1285,-0.002262297,4,1754,2,0.44880205,0.99629769,18,1,5.28,303.75,(33526313.7298 2785778.335000001)
22.91753,1039.3146,-0.002244796,4,1673,5,0.49774483,1.107547421,18,1,8.34,222.34,(33520940.220399998 2765043.6270000003)
22.619204,994.6869,-0.002246103,4,1649,3,0.48867568,1.101568935,18,1,7.76,922.18,(33523291.7689 2781889.5032)
22.569805,1084.2688,-0.00229608,6,1927,3,0.4244838,0.825498861,1,1,8.07,63.18,(33523582.963600002 2756892.6819)
22.234901,1059.1837,-0.002254544,6,1873,3,0.43437153,0.858010488,13,1,8.49,63.18,(33519346.4174 2762148.8702000007)
22.637192,1021.2813,-0.002191941,4,1657,5,0.538535,1.215085084,18,1,7.56,366.93,(33516780.014200002 2770273.181500001)
23.008307,991.4215,-0.002217089,4,1644,3,0.46554124,1.067636786,18,1,8.04,307.39,(33520389.9611 2775286.1403)
24.798153,1124.0914,-0.002391246,4,684,3,0.4784935,0.990328606,15,1,7.6,581.99,(33488845.1717 2759305.4531999994)
22.644224,1015.158,-0.002202661,4,1676,3,0.5283397,1.206816137,18,1,6.22,331.69,(33516333.402599998 2774276.492900001)
22.968456,989.1087,-0.002226324,4,1648,4,0.39755702,0.880863462,18,1,6.24,454.41,(33522100.0643 2777418.8268)
22.30291,1003.3082,-0.002252105,4,1657,3,0.50774765,1.137432048,18,1,8.11,809.19,(33524459.0238 2783586.0217000004)
22.712587,1075.8569,-0.002307291,2,1246,3,0.4360188,0.911373594,18,2,5.45,168.88,(33502424.3378 2777233.1285999995)
22.757082,1000.4371,-0.002212225,4,1657,4,0.5254781,1.227176473,18,1,5.82,160.38,(33517936.3638 2775383.4387999997)
22.40756,1038.9252,-0.002218064,4,1681,4,0.5339214,1.263721051,13,2,8.36,97.2,(33516148.657899998 2767496.6023999993)
22.148327,1035.6947,-0.002281407,1,1845,4,0.44340324,0.870222869,13,1,8.23,770.31,(33532627.267 2775670.3204999994)
23.647636,1045.8733,-0.002273443,2,1610,4,0.5056509,1.141072593,18,1,8.26,420.39,(33525768.9776 2764076.5604999997)
21.755154,1018.716,-0.002258034,4,1699,3,0.51803124,1.125031243,18,1,8,821.34,(33526551.6584 2784105.2773)
24.48829,1083.1628,-0.002292913,2,1562,3,0.49138758,0.987088559,13,1,8.44,49.81,(33503772.714 2770046.7207999993)
21.148096,1000.3327,-0.002264838,4,1658,3,0.48731643,1.127383705,18,1,5.42,405.81,(33522322.1513 2786879.6164999995)
22.764614,989.3774,-0.002240356,4,1645,3,0.4563115,1.021303069,18,2,8.04,1007.23,(33522608.126000002 2780215.1655)
21.618086,1196.4784,-0.002380679,5,897,3,0.5039631,1.071773083,8,10,6.57,509.09,(33485419.0632 2800823.4551)
23.198383,1216.9083,-0.002423688,4,719,3,0.5257913,1.181425424,18,1,5.77,111.17,(33483578.0687 2775882.997300001)
24.678112,1123.4385,-0.002371301,4,729,3,0.50478244,0.998406092,19,1,8.6,492.07,(33490996.8851 2762391.5450999998)
23.188177,1094.1267,-0.002316532,7,1416,4,0.5032507,1.02328743,18,1,8.28,221.13,(33505109.4551 2764698.1664000005)
23.337313,1038.543,-0.002255886,4,1655,5,0.38023812,0.730559395,18,4,6.51,358.43,(33523388.1779 2765176.3319000006)
22.507582,1060.4918,-0.002225055,1,1906,5,0.5066352,1.083366817,1,2,5.73,119.07,(33513339.9964 2767844.827299999)
22.699427,987.4223,-0.002239793,4,1645,3,0.4128946,1.03936535,18,1,7.52,496.94,(33521655.9833 2780230.7595000006)
25.662436,1172.193,-0.002412473,4,751,3,0.55376184,1.209507527,15,1,6.28,231.46,(33485538.146700002 2788069.2786999997)
24.243069,1154.6528,-0.002413068,4,846,3,0.47895852,1.099244387,19,1,4.82,119.07,(33485670.114 2757289.4363)
24.608242,1129.0524,-0.002375838,4,670,3,0.47591433,0.973068892,15,1,8.32,199.26,(33490125.897 2755538.1414)
22.165161,1092.6378,-0.002338712,3,1527,3,0.46039006,0.906517647,18,1,8.25,218.7,(33506687.0606 2761024.057600001)
22.811607,1081.7516,-0.002300265,5,1672,5,0.52109885,1.087983376,1,1,7.98,156.74,(33530150.3229 2756913.094900001)
22.919025,1003.85333,-0.002202459,4,1646,3,0.53583074,1.263776969,18,1,7.14,338.99,(33518982.8617 2772353.7531000003)
24.876307,1192.1913,-0.002408957,4,736,3,0.48022068,0.994579118,15,1,5.78,200.47,(33484943.1855 2794616.8334)
23.96271,1098.3809,-0.002367859,5,980,5,0.33064508,0.563050219,16,1,8.57,132.44,(33495316.6103 2777308.9126999993)
23.944326,1076.514,-0.002330017,6,1288,4,0.44487458,0.897831918,8,1,8.28,89.91,(33499309.5053 2773810.6887)
20.286259,1008.9473,-0.002279857,4,1678,3,0.5562457,1.299372665,18,1,8.06,111.78,(33522544.8992 2790613.5447000004)
24.575628,1130.507,-0.002376163,4,672,3,0.49553427,1.013706506,15,1,8.53,421.61,(33490049.7272 2755132.0489000008)
22.32628,1050.9181,-0.002240811,1,1777,4,0.41433087,0.880819184,13,10,8.44,115.42,(33518596.2504 2764280.2938)
24.262344,1181.4159,-0.002426141,4,900,3,0.5451711,1.271180893,19,1,6.34,142.16,(33484416.5315 2762652.407299999)
22.870413,1007.01245,-0.002199845,4,1648,3,0.52325743,1.236113794,18,1,7.44,253.93,(33518611.7234 2771797.2981000002)
24.391962,1141.3015,-0.002374377,4,664,4,0.54795617,1.236245097,15,3,8.39,227.21,(33490140.672399998 2751657.0506999996)
22.642645,1086.366,-0.002299251,1,1818,3,0.45255682,0.884103185,1,1,8.13,36.45,(33527342.7498 2755942.9426000006)
23.831488,1194.8901,-0.00242673,4,906,3,0.53232163,1.246737926,9,1,6.07,102.06,(33483822.4336 2763616.8168)
22.41153,1040.4927,-0.002216707,4,1685,5,0.55471456,1.235128674,1,1,8.5,328.05,(33515798.8303 2767681.9965000004)
22.862078,987.9515,-0.002222745,4,1641,5,0.42020115,0.952625048,18,1,8.46,359.64,(33520395.2423 2777343.7353000008)
23.055609,989.73083,-0.002224175,4,1651,5,0.39010605,0.82188001,18,10,5.23,503.01,(33521794.5469 2776351.3835000005)
24.479446,1174.7844,-0.00242686,4,899,3,0.5479681,1.231012363,19,1,6.12,162.81,(33484663.1324 2762106.9124999996)
21.23342,1000.3218,-0.002263216,4,1660,4,0.3862407,0.862203845,1,1,7.8,171.31,(33520883.0578 2786121.5593)
23.660923,1058.8031,-0.002293326,2,1664,3,0.38678858,0.808313097,18,1,7.56,393.66,(33526691.791 2761405.5448000003)
21.40563,1032.4679,-0.002278468,4,1884,5,0.37795657,0.714242503,13,1,7.15,868.73,(33531808.6373 2778292.7639000006)
20.710281,1009.1893,-0.002273032,4,1695,5,0.48221448,1.048023728,18,1,6.06,331.69,(33523859.0234 2788903.6884000003)
22.80923,988.80524,-0.0022385,4,1644,5,0.3594784,0.797927335,18,1,8.23,1032.75,(33522562.0909 2779708.4835)
23.014225,1077.6812,-0.002301498,2,1377,3,0.4423051,0.765431575,18,1,4.77,317.12,(33502901.5768 2776349.2061)
22.114399,992.79193,-0.002251763,4,1652,4,0.43711022,1.089621342,18,1,4.49,364.5,(33521787.2066 2783381.025800001)
22.954344,1077.4578,-0.002295812,4,1591,4,0.5057578,1.110646777,1,1,7.99,306.18,(33531359.758500002 2757694.1699)
21.867662,994.9229,-0.002256471,4,1649,5,0.3621314,0.903968127,18,1,7.85,516.38,(33522254.9006 2784531.1613)
24.44924,1143.7186,-0.002369653,4,664,3,0.5174939,1.148944966,15,1,8.29,190.75,(33490723.4062 2750115.2485000007)
22.054642,1089.9641,-0.002332007,1,1550,3,0.4335199,0.860328558,18,5,8.36,302.54,(33507288.3695 2760777.6291000005)
22.861448,988.0859,-0.002231818,4,1644,3,0.39910087,0.705669559,18,1,8.17,541.89,(33522148.2155 2778800.8818999995)
